flight_id,flight_date,carrier_code,flight_number,tail_number,origin_airport,dest_airport,sched_dep_time,dep_time,dep_delay,taxi_out,sched_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,distance,air_time,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
19,2024-09-14,OO,4960,N153OO,DTW,PHL,23:05,23:02,-3,21,00:55,00:53,-2,0,,0,452,81,0,0,0,0,0
20,2024-12-09,DL,701,N189DL,DFW,ATL,19:45,19:40,-5,26,22:14,22:15,1,0,,0,730,117,0,0,0,0,0
21,2024-10-20,F9,4109,N170F9,TPA,EWR,20:20,20:21,1,13,23:16,23:16,0,0,,0,998,152,0,0,0,0,0
22,2024-07-10,UA,390,N216UA,MSP,PDX,08:35,08:34,-1,9,12:19,12:25,6,0,,0,1422,218,0,0,0,0,0
23,2024-10-03,OO,259,N160OO,ATL,MSP,02:45,03:25,40,24,05:26,06:06,40,0,,0,907,130,11,10,11,0,8
24,2024-06-09,WN,524,N196WN,DAL,CLT,19:20,19:18,-2,12,22:04,22:04,0,0,,0,924,145,0,0,0,0,0
25,2024-11-09,AS,1910,N168AS,ORD,TPA,07:20,07:16,-4,21,10:17,10:18,1,0,,0,1013,153,0,0,0,0,0
26,2024-01-22,B6,2301,N202B6,IAH,EWR,21:10,21:07,-3,14,00:56,00:59,3,0,,0,1398,209,0,0,0,0,0
27,2024-09-09,AS,5076,N185AS,LAX,FLL,17:40,17:37,-3,12,23:27,23:23,-4,0,,0,2338,326,0,0,0,0,0
28,2024-08-23,DL,5469,N205DL,BOS,FLL,09:05,09:05,0,17,12:34,12:34,0,0,,0,1239,184,0,0,0,0,0
29,2024-12-10,WN,757,N127WN,EWR,IAD,14:15,14:12,-3,18,15:27,15:31,4,0,,0,211,49,0,0,0,0,0
30,2024-02-18,OO,2880,N197OO,PHL,SFO,19:50,19:48,-2,8,01:58,01:46,-12,0,,0,2515,347,0,0,0,0,0
31,2024-02-28,F9,5043,N131F9,IAD,AUS,19:50,19:51,1,23,23:27,23:36,9,0,,0,1295,196,0,0,0,0,0
32,2024-06-18,OO,1848,N187OO,FLL,MCO,18:45,18:45,0,18,19:56,19:53,-3,0,,0,178,43,0,0,0,0,0
33,2024-07-06,UA,5236,N196UA,EWR,JFK,14:25,14:22,-3,18,15:28,15:33,5,0,,0,120,41,0,0,0,0,0
34,2024-09-27,UA,2065,N176UA,SAN,SFO,15:15,15:15,0,13,17:00,16:51,-9,0,,0,447,80,0,0,0,0,0
35,2024-07-08,NK,2430,N211NK,MDW,SFO,07:20,07:53,33,21,12:04,12:35,31,0,,0,1850,253,5,24,1,0,1
36,2024-06-23,AA,3249,N200AA,JFK,ORD,22:00,22:30,30,24,00:28,00:59,31,0,,0,738,117,5,3,8,0,15
37,2024-02-20,B6,883,N110B6,IAH,PDX,16:15,16:13,-2,21,20:55,20:54,-1,0,,0,1823,257,0,0,0,0,0
38,2024-12-29,UA,1425,N167UA,ORD,MDW,22:30,22:29,-1,23,23:33,23:38,5,0,,0,120,38,0,0,0,0,0
39,2024-02-24,AA,5995,N157AA,ATL,DAL,22:45,22:37,-8,14,01:06,00:52,-14,0,,0,720,112,0,0,0,0,0
40,2024-08-31,WN,1158,N167WN,BNA,IAD,13:10,13:18,8,13,15:06,15:14,8,0,,0,541,97,0,0,0,0,0
41,2024-11-15,AA,5725,N190AA,BNA,ATL,16:40,17:07,27,19,18:00,18:20,20,0,,0,214,48,8,1,1,0,10
42,2024-05-10,WN,4111,N146WN,DTW,FLL,06:20,06:41,21,16,09:35,09:49,14,0,,0,1130,162,0,0,0,0,0
43,2024-11-02,WN,5466,N109WN,BOS,BNA,17:35,17:31,-4,18,20:24,20:16,-8,0,,0,941,142,0,0,0,0,0
44,2024-05-14,AS,2780,N217AS,DAL,SFO,15:40,,0,0,19:37,,0,1,B,0,1473,0,0,0,0,0,0
45,2024-01-21,WN,2152,N172WN,TPA,DFW,05:05,05:05,0,16,07:56,07:50,-6,0,,0,928,138,0,0,0,0,0
46,2024-11-24,B6,1619,N114B6,DAL,BOS,15:10,15:06,-4,14,19:18,19:13,-5,0,,0,1552,223,0,0,0,0,0
47,2024-06-15,MQ,2375,N107MQ,DFW,CLT,08:35,08:36,1,13,11:17,11:21,4,0,,0,934,149,0,0,0,0,0
48,2024-09-30,UA,1255,N206UA,PDX,ORD,19:00,19:02,2,21,23:35,23:39,4,0,,0,1735,247,0,0,0,0,0
49,2024-03-29,WN,5426,N170WN,MIA,BWI,15:55,15:50,-5,15,18:44,18:45,1,0,,0,948,150,0,0,0,0,0
50,2024-11-11,DL,5768,N215DL,BOS,DFW,20:00,19:59,-1,19,00:11,00:04,-7,0,,0,1559,221,0,0,0,0,0
51,2024-01-14,OO,3215,N164OO,DEN,SFO,09:10,09:09,-1,15,11:56,12:00,4,0,,0,965,147,0,0,0,0,0
52,2024-08-29,WN,2662,N125WN,MSP,DFW,15:25,15:21,-4,19,18:05,18:01,-4,0,,0,853,133,0,0,0,0,0
53,2024-09-21,DL,3612,N173DL,LAS,BOS,04:20,04:13,-7,16,10:19,10:13,-6,0,,0,2375,337,0,0,0,0,0
54,2024-12-11,UA,3334,N168UA,SAN,AUS,16:45,17:38,53,17,20:03,20:45,42,0,,0,1162,164,1,1,2,0,38
55,2024-02-22,DL,5125,N119DL,MCO,IAH,11:25,11:23,-2,21,14:05,14:04,-1,0,,0,852,132,0,0,0,0,0
56,2024-12-05,UA,2580,N121UA,SEA,PHL,05:50,05:45,-5,14,11:44,11:45,1,0,,0,2372,339,0,0,0,0,0
57,2024-04-01,AA,4317,N141AA,MSP,MCO,09:55,09:50,-5,20,13:37,13:40,3,0,,0,1311,200,0,0,0,0,0
58,2024-09-20,AA,5089,N209AA,SFO,ORD,15:05,15:06,1,21,19:53,19:55,2,0,,0,1842,262,0,0,0,0,0
59,2024-02-04,DL,5423,N166DL,EWR,ORD,20:45,20:39,-6,27,23:11,23:13,2,0,,0,717,120,0,0,0,0,0
60,2024-07-24,B6,3141,N156B6,PHX,MIA,06:20,06:14,-6,21,11:26,11:31,5,0,,0,1969,285,0,0,0,0,0
61,2024-03-21,F9,4786,N114F9,MCO,MSP,06:00,07:01,61,24,09:35,10:33,58,0,,0,1311,182,29,1,28,0,0
62,2024-02-19,DL,4669,N187DL,EWR,PHX,07:50,07:47,-3,28,13:20,13:30,10,0,,0,2128,302,0,0,0,0,0
63,2024-12-25,B6,1780,N126B6,BOS,DAL,18:25,19:47,82,25,22:35,23:44,69,0,,0,1552,207,2,1,14,2,50
64,2024-01-02,DL,3186,N191DL,CLT,LAS,08:10,08:09,-1,22,13:10,13:18,8,0,,0,1912,277,0,0,0,0,0
65,2024-02-23,DL,1619,N174DL,SEA,JFK,09:45,09:43,-2,14,15:42,15:33,-9,0,,0,2415,331,0,0,0,0,0
66,2024-04-15,DL,2087,N162DL,BNA,BOS,20:10,20:05,-5,18,22:58,22:55,-3,0,,0,941,144,0,0,0,0,0
67,2024-09-16,DL,137,N111DL,CLT,SEA,12:15,12:17,2,13,17:54,18:02,8,0,,0,2274,329,0,0,0,0,0
68,2024-11-05,UA,5071,N215UA,MCO,EWR,13:40,13:39,-1,13,16:27,16:23,-4,0,,0,938,141,0,0,0,0,0
69,2024-07-09,OO,4798,N165OO,ORD,BOS,12:45,12:45,0,12,15:22,15:19,-3,0,,0,864,136,0,0,0,0,0
70,2024-08-05,OO,420,N157OO,DEN,BOS,09:15,09:12,-3,20,13:49,13:45,-4,0,,0,1750,244,0,0,0,0,0
71,2024-02-13,AA,2401,N203AA,DEN,IAD,20:15,20:16,1,12,00:11,00:09,-2,0,,0,1449,212,0,0,0,0,0
72,2024-06-10,NK,3293,N107NK,JFK,ORD,13:30,13:32,2,16,15:49,15:56,7,0,,0,738,118,0,0,0,0,0
73,2024-07-20,F9,3765,N158F9,IAH,DTW,05:35,05:33,-2,19,08:41,08:39,-2,0,,0,1075,160,0,0,0,0,0
74,2024-09-26,DL,3128,N116DL,CLT,FLL,06:45,06:48,3,21,08:59,09:02,3,0,,0,633,105,0,0,0,0,0
75,2024-12-16,AA,2845,N165AA,ORD,SAN,13:05,13:01,-4,18,17:33,17:28,-5,0,,0,1720,246,0,0,0,0,0
76,2024-10-30,AS,4330,N153AS,PDX,JFK,10:30,10:39,9,10,16:35,16:39,4,0,,0,2447,343,0,0,0,0,0
77,2024-09-27,AA,1285,N158AA,CLT,TPA,16:15,16:15,0,18,18:12,18:19,7,0,,0,509,93,0,0,0,0,0
78,2024-08-02,OO,2933,N172OO,FLL,TPA,22:40,22:34,-6,27,23:50,23:51,1,0,,0,197,47,0,0,0,0,0
79,2024-09-08,AA,4586,N107AA,BNA,DFW,09:25,09:23,-2,10,11:27,11:14,-13,0,,0,630,97,0,0,0,0,0
80,2024-07-08,NK,897,N171NK,PHX,SLC,21:20,21:25,5,13,23:07,23:10,3,0,,0,508,82,0,0,0,0,0
81,2024-10-22,B6,5139,N159B6,TPA,BOS,14:45,14:47,2,20,18:12,18:13,1,0,,0,1186,178,0,0,0,0,0
82,2024-07-31,UA,2805,N186UA,JFK,SEA,18:00,17:58,-2,22,00:01,00:03,2,0,,0,2415,335,0,0,0,0,0
83,2024-07-26,AA,2364,N203AA,ATL,BWI,11:30,11:40,10,16,13:29,13:40,11,0,,0,576,96,0,0,0,0,0
84,2024-08-24,DL,1598,N139DL,SFO,JFK,04:30,,0,0,10:50,,0,1,A,0,2580,0,0,0,0,0,0
85,2024-12-03,F9,4336,N192F9,LAX,AUS,08:20,08:23,3,19,11:49,11:58,9,0,,0,1239,186,0,0,0,0,0
86,2024-02-22,UA,5968,N102UA,ORD,FLL,10:45,10:44,-1,26,14:10,14:18,8,0,,0,1184,176,0,0,0,0,0
87,2024-10-06,AA,2149,N150AA,DEN,IAD,10:50,10:46,-4,21,14:40,14:42,2,0,,0,1449,212,0,0,0,0,0
88,2024-08-04,DL,2478,N132DL,PDX,LAS,16:25,16:54,29,21,18:55,19:28,33,0,,0,763,121,17,13,2,0,1
89,2024-09-08,DL,2322,N204DL,SEA,SAN,15:00,15:00,0,12,18:01,18:02,1,0,,0,1052,162,0,0,0,0,0
90,2024-07-06,UA,4030,N100UA,BNA,DFW,16:30,16:33,3,25,18:39,18:49,10,0,,0,630,108,0,0,0,0,0
91,2024-02-10,AS,5581,N195AS,LAS,BWI,17:15,17:10,-5,24,22:38,22:37,-1,0,,0,2101,298,0,0,0,0,0
92,2024-06-05,AA,3980,N127AA,ORD,CLT,19:20,19:30,10,12,21:18,21:20,2,0,,0,599,92,0,0,0,0,0
93,2024-01-15,DL,4617,N174DL,AUS,DFW,10:05,10:03,-2,12,11:12,11:05,-7,0,,0,190,47,0,0,0,0,0
94,2024-10-27,AA,182,N109AA,PDX,DAL,18:55,18:54,-1,12,23:10,23:02,-8,0,,0,1624,229,0,0,0,0,0
95,2024-03-05,AA,5889,N105AA,LAX,CLT,09:25,09:51,26,24,14:54,15:15,21,0,,0,2120,291,12,1,7,0,1
96,2024-12-10,UA,4767,N154UA,ATL,SEA,17:50,17:48,-2,14,23:24,23:16,-8,0,,0,2178,303,0,0,0,0,0
97,2024-11-22,UA,575,N144UA,JFK,BWI,18:40,18:57,17,24,19:47,20:07,20,0,,0,184,42,13,6,0,0,1
98,2024-01-09,DL,2452,N189DL,PHL,SLC,05:25,05:22,-3,12,10:18,10:15,-3,0,,0,1922,274,0,0,0,0,0
99,2024-12-09,WN,5210,N108WN,AUS,PHX,06:35,06:34,-1,16,09:11,09:14,3,0,,0,870,135,0,0,0,0,0
100,2024-05-08,DL,3768,N169DL,DEN,IAD,16:55,16:49,-6,22,20:50,20:48,-2,0,,0,1449,210,0,0,0,0,0
101,2024-05-15,G4,5317,N107G4,AUS,BNA,11:30,11:31,1,15,13:55,13:53,-2,0,,0,755,116,0,0,0,0,0
102,2024-03-03,G4,2100,N219G4,DTW,LAS,06:10,06:45,35,19,10:47,11:11,24,0,,0,1745,239,5,8,8,0,3
103,2024-05-18,DL,3787,N214DL,DAL,SLC,07:00,07:00,0,20,09:56,10:04,8,0,,0,998,152,0,0,0,0,0
104,2024-03-21,UA,1324,N108UA,BNA,MDW,11:05,11:24,19,16,12:45,12:55,10,0,,0,395,66,0,0,0,0,0
105,2024-06-11,UA,2472,N219UA,SAN,AUS,07:40,07:55,15,26,10:58,11:16,18,0,,0,1162,170,5,3,2,0,8
106,2024-10-15,MQ,180,N160MQ,MDW,SLC,20:15,20:38,23,19,23:46,00:17,31,0,,0,1256,188,1,3,11,0,16
107,2024-09-17,AA,1081,N104AA,PDX,SFO,21:55,21:50,-5,19,23:57,23:50,-7,0,,0,551,93,0,0,0,0,0
108,2024-08-18,WN,2582,N136WN,TPA,MCO,07:15,07:10,-5,24,08:20,08:18,-2,0,,0,120,39,0,0,0,0,0
109,2024-02-10,UA,4500,N152UA,MDW,IAD,15:45,15:46,1,19,17:50,17:53,3,0,,0,576,97,0,0,0,0,0
110,2024-01-28,B6,996,N123B6,AUS,EWR,05:55,05:54,-1,19,09:54,09:56,2,0,,0,1501,219,0,0,0,0,0
111,2024-05-14,AA,210,N198AA,DFW,SEA,11:50,11:50,0,24,16:12,16:17,5,0,,0,1658,238,0,0,0,0,0
112,2024-07-19,AS,3537,N117AS,BNA,PHX,15:50,15:45,-5,16,19:41,19:36,-5,0,,0,1445,212,0,0,0,0,0
113,2024-11-23,DL,4066,N198DL,MIA,ORD,07:50,07:47,-3,18,11:08,11:11,3,0,,0,1199,178,0,0,0,0,0
114,2024-09-24,DL,1665,N182DL,SFO,JFK,16:00,16:29,29,21,22:29,22:45,16,0,,0,2580,345,8,4,1,0,3
115,2024-02-02,DL,1320,N193DL,SAN,BWI,19:10,19:05,-5,24,00:58,01:01,3,0,,0,2290,326,0,0,0,0,0
116,2024-02-17,UA,5221,N182UA,MCO,FLL,14:25,,0,0,15:32,,0,1,C,0,178,0,0,0,0,0,0
117,2024-03-02,B6,4605,N153B6,ORD,PHL,18:50,18:52,2,18,21:04,21:14,10,0,,0,676,116,0,0,0,0,0
118,2024-08-03,WN,4597,N147WN,MDW,TPA,05:55,05:53,-2,17,08:47,08:51,4,0,,0,999,155,0,0,0,0,0
119,2024-10-19,DL,2619,N214DL,MSP,ATL,10:20,10:33,13,17,13:07,13:22,15,0,,0,907,140,6,6,1,0,2
120,2024-04-08,WN,2717,N148WN,IAH,AUS,17:05,17:20,15,14,18:04,18:12,8,0,,0,140,35,0,0,0,0,0
121,2024-06-20,DL,1983,N157DL,DFW,CLT,15:15,15:59,44,13,18:05,18:41,36,0,,0,934,140,8,4,5,0,19
122,2024-12-25,OO,202,N211OO,IAD,SLC,19:50,19:48,-2,18,00:39,00:46,7,0,,0,1823,271,0,0,0,0,0
123,2024-08-01,AA,441,N217AA,DFW,BOS,11:10,11:09,-1,19,15:15,15:23,8,0,,0,1559,231,0,0,0,0,0
124,2024-02-04,UA,141,N216UA,DEN,MCO,09:50,10:01,11,24,13:57,14:15,18,0,,0,1545,222,13,3,1,0,1
125,2024-08-14,AA,4336,N148AA,AUS,IAH,16:10,16:04,-6,17,17:18,17:11,-7,0,,0,140,43,0,0,0,0,0
126,2024-04-10,UA,4805,N148UA,SEA,DEN,16:10,17:45,95,19,19:13,20:40,87,0,,0,1022,145,9,27,18,0,33
127,2024-05-10,OO,3863,N110OO,FLL,DFW,13:05,13:28,23,21,16:21,16:35,14,0,,0,1118,159,0,0,0,0,0
128,2024-09-13,AA,1034,N187AA,AUS,JFK,05:20,05:21,1,19,09:28,09:39,11,0,,0,1519,228,0,0,0,0,0
129,2024-01-05,AS,2628,N184AS,ORD,PDX,07:05,07:03,-2,20,11:41,11:37,-4,0,,0,1735,243,0,0,0,0,0
130,2024-08-05,B6,1647,N211B6,DAL,JFK,06:45,06:45,0,9,10:29,10:30,1,0,,0,1381,204,0,0,0,0,0
131,2024-09-11,AA,112,N169AA,IAD,MSP,12:50,12:51,1,9,15:31,15:24,-7,0,,0,906,140,0,0,0,0,0
132,2024-12-24,AS,4825,N117AS,IAD,IAH,13:10,13:07,-3,23,16:34,16:28,-6,0,,0,1189,173,0,0,0,0,0
133,2024-10-09,WN,2503,N183WN,DAL,PHL,11:00,10:56,-4,24,14:42,14:41,-1,0,,0,1292,191,0,0,0,0,0
134,2024-07-25,AA,1870,N210AA,JFK,ATL,05:35,05:30,-5,23,08:01,08:12,11,0,,0,759,131,0,0,0,0,0
135,2024-01-15,UA,4302,N144UA,DTW,MDW,11:20,11:15,-5,17,12:41,12:30,-11,0,,0,228,48,0,0,0,0,0
136,2024-12-11,WN,4103,N115WN,BNA,MCO,03:55,03:54,-1,22,06:03,06:03,0,0,,0,617,102,0,0,0,0,0
137,2024-02-11,F9,5509,N122F9,MCO,DTW,05:10,05:08,-2,13,07:54,07:47,-7,0,,0,959,143,0,0,0,0,0
138,2024-06-27,DL,266,N168DL,ATL,SLC,12:20,12:18,-2,28,16:35,16:45,10,0,,0,1587,229,0,0,0,0,0
139,2024-03-03,OO,3156,N150OO,SFO,SEA,09:05,09:26,21,23,11:23,11:51,28,0,,0,679,111,27,0,0,1,0
140,2024-12-17,B6,3130,N167B6,MDW,DFW,20:55,20:53,-2,21,23:28,23:24,-4,0,,0,797,126,0,0,0,0,0
141,2024-08-18,WN,3430,N116WN,PHX,BOS,16:50,16:50,0,20,22:39,22:43,4,0,,0,2295,323,0,0,0,0,0
142,2024-08-28,B6,5949,N193B6,BWI,MSP,19:30,19:30,0,25,22:22,22:25,3,0,,0,934,144,0,0,0,0,0
143,2024-02-21,B6,4820,N128B6,SLC,PDX,11:45,12:36,51,11,13:54,14:41,47,0,,0,628,102,23,4,9,0,11
144,2024-04-05,UA,2756,N206UA,TPA,MSP,18:10,18:33,23,11,21:45,22:13,28,0,,0,1308,199,8,9,2,0,9
145,2024-08-09,AA,3560,N100AA,SLC,PDX,09:20,09:17,-3,17,11:30,11:23,-7,0,,0,628,104,0,0,0,0,0
146,2024-08-18,MQ,3698,N196MQ,IAH,BNA,19:40,20:09,29,23,21:57,22:24,27,0,,0,656,102,15,3,4,0,5
147,2024-08-24,OO,733,N102OO,SEA,BWI,15:45,15:45,0,18,21:39,21:40,1,0,,0,2329,327,0,0,0,0,0
148,2024-05-22,OO,1709,N138OO,PHX,DTW,23:25,23:24,-1,24,03:54,03:52,-2,0,,0,1667,234,0,0,0,0,0
149,2024-06-19,DL,5556,N159DL,EWR,CLT,15:05,15:08,3,27,17:06,17:11,5,0,,0,528,88,0,0,0,0,0
150,2024-01-29,NK,3431,N186NK,PHL,DTW,14:40,14:40,0,18,16:22,16:27,5,0,,0,452,84,0,0,0,0,0
151,2024-02-05,OO,4929,N192OO,MIA,MSP,10:55,10:54,-1,12,14:56,14:56,0,0,,0,1503,220,0,0,0,0,0
152,2024-01-13,UA,2617,N169UA,BNA,MDW,12:25,12:27,2,17,14:02,14:04,2,0,,0,395,77,0,0,0,0,0
153,2024-06-08,OO,5082,N154OO,BWI,MDW,06:15,06:12,-3,21,08:23,08:19,-4,0,,0,609,101,0,0,0,0,0
154,2024-11-22,DL,1957,N168DL,DEN,PHL,06:40,06:38,-2,14,10:47,10:42,-5,0,,0,1554,220,0,0,0,0,0
155,2024-07-05,DL,1222,N148DL,PHL,IAD,07:20,07:17,-3,17,08:23,08:26,3,0,,0,134,42,0,0,0,0,0
156,2024-08-30,AA,4177,N205AA,PHX,DTW,11:45,11:45,0,17,16:07,16:03,-4,0,,0,1667,236,0,0,0,0,0
157,2024-03-26,DL,1148,N129DL,AUS,SEA,08:50,08:50,0,15,13:25,13:15,-10,0,,0,1769,244,0,0,0,0,0
158,2024-10-10,AS,4072,N131AS,IAD,PHX,16:40,16:37,-3,16,21:42,21:47,5,0,,0,1952,281,0,0,0,0,0
159,2024-03-06,OO,1483,N158OO,PHX,SEA,19:25,19:20,-5,13,22:32,22:21,-11,0,,0,1107,164,0,0,0,0,0
160,2024-06-18,AA,5993,N144AA,CLT,ORD,07:55,07:57,2,24,10:05,10:09,4,0,,0,599,101,0,0,0,0,0
161,2024-02-14,WN,1595,N119WN,EWR,DEN,18:40,18:38,-2,13,22:52,22:47,-5,0,,0,1601,228,0,0,0,0,0
162,2024-03-02,UA,2840,N135UA,AUS,EWR,06:15,06:18,3,18,10:15,10:16,1,0,,0,1501,214,0,0,0,0,0
163,2024-05-13,AA,4150,N124AA,EWR,CLT,15:30,15:29,-1,19,17:19,17:25,6,0,,0,528,91,0,0,0,0,0
164,2024-10-10,OO,1612,N219OO,BNA,SAN,18:20,18:49,29,26,22:57,23:24,27,0,,0,1748,240,13,0,2,0,12
165,2024-01-28,OO,1402,N212OO,EWR,AUS,07:40,07:37,-3,23,11:46,11:49,3,0,,0,1501,221,0,0,0,0,0
166,2024-04-17,DL,3793,N192DL,DEN,SAN,16:55,17:31,36,18,19:36,20:09,33,0,,0,852,127,6,2,5,0,20
167,2024-02-13,B6,2938,N197B6,PHX,BOS,11:50,11:51,1,20,17:36,17:40,4,0,,0,2295,325,0,0,0,0,0
168,2024-12-05,AA,3451,N114AA,DEN,AUS,05:25,05:44,19,22,07:53,08:08,15,0,,0,776,119,4,2,6,0,3
169,2024-10-12,UA,1005,N104UA,DFW,FLL,12:45,13:00,15,24,15:59,16:19,20,0,,0,1118,169,2,3,8,0,7
170,2024-11-26,UA,3021,N203UA,IAD,SAN,17:15,17:17,2,17,22:48,22:54,6,0,,0,2248,315,0,0,0,0,0
171,2024-05-07,AA,2080,N184AA,LAS,SFO,09:15,09:12,-3,14,10:51,10:43,-8,0,,0,413,73,0,0,0,0,0
172,2024-12-13,AS,1460,N153AS,BNA,CLT,12:35,12:31,-4,16,14:01,13:59,-2,0,,0,328,67,0,0,0,0,0
173,2024-08-18,G4,3001,N178G4,MCO,PDX,17:35,17:32,-3,13,23:44,23:42,-2,0,,0,2531,354,0,0,0,0,0
174,2024-07-08,B6,5934,N198B6,DFW,DAL,13:40,,0,0,14:45,,0,1,D,0,120,0,0,0,0,0,0
175,2024-08-12,AS,3756,N219AS,PDX,EWR,17:50,17:50,0,9,23:50,23:40,-10,0,,0,2427,330,0,0,0,0,0
176,2024-10-09,DL,1342,N213DL,PHL,JFK,22:05,22:04,-1,23,23:15,23:18,3,0,,0,120,40,0,0,0,0,0
177,2024-04-30,DL,876,N213DL,MDW,JFK,15:50,15:50,0,23,18:14,18:10,-4,0,,0,730,112,0,0,0,0,0
178,2024-04-25,UA,964,N102UA,LAX,EWR,15:00,15:29,29,13,21:00,21:14,14,0,,0,2449,328,0,0,0,0,0
179,2024-08-20,WN,851,N130WN,AUS,IAD,10:50,10:49,-1,13,14:23,14:24,1,0,,0,1295,193,0,0,0,0,0
180,2024-09-15,AS,4709,N126AS,MIA,DEN,12:00,12:00,0,16,16:25,16:25,0,0,,0,1708,245,0,0,0,0,0
181,2024-12-24,UA,5544,N108UA,CLT,BWI,12:10,12:07,-3,11,13:42,13:43,1,0,,0,361,75,0,0,0,0,0
182,2024-07-16,DL,4970,N112DL,MCO,EWR,06:20,06:20,0,20,09:07,09:20,13,0,,0,938,148,0,0,0,0,0
183,2024-05-16,DL,3454,N176DL,BNA,SAN,06:35,06:35,0,21,11:12,11:21,9,0,,0,1748,255,0,0,0,0,0
184,2024-11-13,G4,651,N104G4,DEN,LAS,15:25,15:27,2,22,17:33,17:38,5,0,,0,627,102,0,0,0,0,0
185,2024-06-13,DL,3550,N157DL,BNA,SEA,17:05,17:10,5,12,22:04,22:10,6,0,,0,1974,281,0,0,0,0,0
186,2024-08-12,OO,4712,N176OO,SFO,MDW,16:00,16:01,1,26,20:46,20:58,12,0,,0,1850,265,0,0,0,0,0
187,2024-11-02,AA,212,N186AA,BWI,AUS,07:20,07:19,-1,15,11:03,10:56,-7,0,,0,1340,195,0,0,0,0,0
188,2024-08-21,WN,5665,N190WN,TPA,IAH,09:20,10:22,62,8,11:49,12:43,54,0,,0,786,124,31,7,11,0,5
189,2024-06-20,DL,4548,N211DL,FLL,DAL,16:35,17:58,83,20,19:48,21:07,79,0,,0,1107,159,29,9,12,0,29
190,2024-05-31,UA,3505,N106UA,TPA,BNA,16:55,18:26,91,16,19:01,20:26,85,0,,0,613,97,33,6,36,0,10
191,2024-11-10,HA,246,N131HA,MDW,MCO,12:55,,0,0,15:52,,0,1,C,0,991,0,0,0,0,0,0
192,2024-06-08,MQ,4747,N194MQ,DTW,ORD,06:05,06:04,-1,14,07:20,07:12,-8,0,,0,234,48,0,0,0,0,0
193,2024-04-05,B6,2111,N105B6,BWI,IAD,05:10,05:40,30,22,06:16,06:53,37,0,,0,120,39,18,1,16,0,2
194,2024-08-20,B6,2061,N151B6,IAH,AUS,10:25,10:25,0,14,11:29,11:28,-1,0,,0,140,38,0,0,0,0,0
195,2024-06-28,OO,4671,N156OO,DFW,ATL,20:40,20:39,-1,18,23:01,23:06,5,0,,0,730,120,0,0,0,0,0
